,Unnamed: 0,title,address,metric,geo
0,0,Wharfside Bldg,185 Berry St,"4,675-148,583 SF  ","('37.77604', '-122.39304')"
1,2,225 Bush,225 Bush St,"515-86,034 SF  ","('37.79094', '-122.40134')"
2,3,One Eleven Sutter,111 Sutter St,"1,944-39,843 SF  ","('37.78988', '-122.40255')"
3,4,44 2nd St,,"850-3,050 SF  ","('37.75672', '-122.40507')"
4,5,Green Glen,500-550 Treat Ave,"9,938 SF  ","('37.76189', '-122.41441')"
5,6,One Montgomery Tower,One Montgomery St,"2,568-57,123 SF  ","('37.80199', '-122.45767')"
6,8,North Park,520-560 Davis St,"4,493-9,865 SF  ","('37.79766', '-122.39845')"
7,10,1700-1750 Montgomery,1700 Montgomery St,"1,147-12,469 SF  ","('37.80527', '-122.40458')"
8,12,250 Montgomery,250 Montgomery St,"3,749-15,250 SF  ","('37.79144', '-122.40248')"
9,13,425 California St,,"2,488-11,646 SF  ","('37.75672', '-122.40507')"
11,16,101 Montgomery,101 Montgomery St,"4,123-23,092 SF  ","('37.79056', '-122.40247')"
12,17,Fox Plaza Tower,1390 Market St,"2,187-34,591 SF  ","('37.77662', '-122.41740')"
13,18,270 Brannan,270 Brannan St,"16,299-178,863 SF  ","('37.78296', '-122.39155')"
14,19,One Front St,,"7,014-17,999 SF  ","('37.75672', '-122.40507')"
15,24,Equitable Life Building,100 Montgomery St,"2,934-36,104 SF  ","('37.79932', '-122.46009')"
16,25,353 Sacramento,353 Sacramento St,"9,920-23,818 SF  ","('37.79420', '-122.39960')"
17,26,1500 Mission St,,"13,785-27,785 SF  ","('37.75672', '-122.40507')"
18,27,303 2nd,303 2nd St,"3,711-183,041 SF  ","('37.78468', '-122.39533')"
19,28,Central Plaza,455 Market St,"25,250-28,440 SF  ","('37.79079', '-122.39845')"
20,29,1455 Market,1455 Market St,"19,502-281,752 SF  ","('37.77600', '-122.41814')"
21,30,California Federal Savings,88 Kearny St,"2,081-34,042 SF  ","('37.78882', '-122.40365')"
22,32,555 Mission,555 Mission St,"7,369-64,165 SF  ","('37.78860', '-122.39867')"
23,34,Westfield San Francisco Centre,835 Market St,"15,000-267,160 SF  ","('37.78410', '-122.40614')"
24,35,115 Sansome St,,"2,261-18,197 SF  ","('37.75672', '-122.40507')"
25,36,601 Montgomery,601 Montgomery St,"1,135-26,660 SF  ","('37.79476', '-122.40334')"
26,38,Harold Dollar Building,351 California St,"3,300-16,582 SF  ","('37.79287', '-122.40075')"
27,41,795 Folsom St,,"31,611-32,566 SF  ","('37.75672', '-122.40507')"
28,44,150 Spear,150 Spear St,"2,474-31,120 SF  ","('37.79191', '-122.39328')"
29,47,45 Belden Pl,,"1,200 SF  ","('37.75672', '-122.40507')"
30,48,Convention Plaza,201 Third St,"20,092-103,370 SF  ","('37.80511', '-122.40860')"
31,49,38 Keyes Ave Presidio,38 Keyes Ave,"6,675-7,185 SF  ","('37.79957', '-122.45705')"
